specimen,family,name,species,gender,p2.1,p2.2,p2.3,p3.1,p3.2,p3.3,p4.1,p4.2,p4.3,m1.1,m1.2,m1.3,m2.1,m2.2,m2.3,m3.1,m3.2,m3.3
FMNH 92368,Tayassuidae,Tayassu pecari pecari ,Tayassu pecari ,,5.14,5.588,5.363,7.717,8.064,7.775,10.839,10.503,10.505,12.067,11.732,11.509,13.408,13.633,13.52,13.296,13.408,13.41
FMNH 52498,Tayassuidae,Tayassu pecari ,Tayassu pecari ,,5.12,5.121,5.013,6.79,6.678,6.566,9.238,9.126,9.35,12.91,13.469,13.245,15.136,15.249,15.248,12.688,12.91,12.688
FMNH 62081,Tayassuidae,Tayassu pecari pecari ,Tayassu pecari ,,4.462,4.484,4.128,6.803,6.914,6.357,9.479,9.256,9.256,12.044,11.933,11.822,12.713,12.602,12.604,12.825,12.936,13.159
FMNH 79930,Tayassuidae,Tayassu pecari ,Tayassu pecari ,,5.685,5.685,5.127,8.137,7.914,8.138,10.813,10.812,10.812,14.046,14.381,14.381,14.825,14.381,14.491,14.158,14.158,14.825
FMNH 26670,Cervidae,Capreolus capreolus bedfordi ,Capreolus capreolus,,4.687,4.804,5.139,6.138,7.143,7.151,8.174,8.148,8.26,8.594,8.371,8.371,8.485,8.485,9.152,8.371,8.147,8.371
FMNH 25648,Cervidae,Capreolus capreolus pygargus,Capreolus capreolus,,5.394,5.543,5.553,7.641,7.791,7.866,8.69,8.765,8.915,8.69,8.69,8.69,10.247,10.039,9.664,9.514,9.514,9.289
FMNH 1278,Cervidae,Capreolus capreolus pygargus,Capreolus capreolus,,5.176,5.55,5.624,6.824,6.824,6.749,8.099,8.324,8.249,7.949,8.099,8.174,9.224,9.299,9.149,9.749,9.374,9.6
FMNH 65572,Cervidae,Capreolus capreolus,Capreolus capreolus,,4.217,4.142,4.517,5.497,5.647,5.497,6.776,6.627,6.626,7.529,7.453,7.303,7.604,7.68,7.68,7.077,7.378,7.303
FMNH 97894,Cervidae,Capreolus capreolus,Capreolus capreolus,,4.483,4.557,4.483,6.425,6.724,6.65,6.873,7.026,6.948,7.546,7.546,7.546,8.218,8.144,7.994,7.845,7.844,7.62
FMNH 23553,Cervidae,Hippocamelus bisulcus ,Hippocamelus bisulcus ,,5.602,5.155,5.694,6.467,6.689,6.358,10.154,10.036,9.839,10.612,10.368,10.368,12.486,12.486,12.151,11.037,11.26,10.925
FMNH 1476,Cervidae,Hippocamelus bisulcus,Hippocamelus bisulcus ,,4.652,4.651,4.652,6.303,6.227,6.152,9.304,9.605,9.527,10.053,10.578,10.353,10.503,10.653,10.737,11.253,10.954,10.959
FMNH 92080,Cervidae,Mazama gouazoubira nemorivaga ,Mazama gouazoubira ,,2.211,4.212,4.286,4.521,4.588,4.437,5.416,5.339,5.04,6.392,6.542,6.467,7.67,7.52,7.446,7.219,7.37,7.369
FMNH 86898,Cervidae,Mazama gouazoubira nemorivaga ,Mazama gouazoubira ,,3.904,3.829,3.679,4.805,4.505,4.58,5.632,5.63,5.255,6.832,6.682,6.832,7.659,7.883,7.658,7.513,7.207,7.507
FMNH 51878,Cervidae,Mazama gouazoubira gouazoubira,Mazama gouazoubira ,,3.392,3.469,3.544,4.693,4.529,4.297,5.655,5.659,5.667,6.937,6.861,6.711,7.011,6.936,7.093,7.013,7.086,6.936
FMNH 283036,Cervidae,Mazama gouazoubira nana,Mazama gouazoubira ,,3.181,3.03,2.804,4.696,4.172,4.454,5.757,6.059,5.908,6.59,6.665,6.44,6.669,7.044,6.817,7.206,7.051,7.386
FMNH 20196,Cervidae,Mazama rufina bricenii,Mazama rufina ,,3.933,3.634,3.55,4.993,5.295,4.538,5.606,5.825,5.597,5.674,5.826,5.569,6.354,6.505,6.505,7.64,6.867,7.64
FMNH 20197,Cervidae,Mazama rufina bricenii,Mazama rufina ,,2.645,3.334,3.102,4.367,4.367,4.067,4.97,5.271,5.196,5.81,5.949,5.948,6.178,6.176,6.325,6.407,6.627,6.555
FMNH 70563,Cervidae,Mazama rufina ,Mazama rufina ,,3.279,3.27,3.256,4.459,4.637,5.532,5.367,4.91,5.137,5.44,5.665,5.922,6.873,6.496,6.873,6.346,6.571,6.497
FMNH 85824,Cervidae,Mazama rufina ,Mazama rufina ,,3.303,3.303,3.303,4.727,4.897,4.841,5.695,5.792,5.752,6.492,6.378,6.264,7.119,7.175,7.233,6.919,6.72,6.549
FMNH 88492,Cervidae,Mazama rufina ,Mazama rufina ,,3.875,3.723,3.494,5.089,5.089,5.013,5.697,5.697,5.545,6.533,6.684,6.534,7.293,7.368,7.294,6.836,6.76,6.76
FMNH 44334,Cervidae,Mazama rufina ,Mazama rufina ,,3.346,3.347,2.949,4.766,4.935,4.77,6.126,6.126,5.842,6.183,5.9,5.842,6.977,6.976,7.033,7.264,7.373,7.381
