,occurrences.order_name,occurrences.family_name,occurrences.parent_name,occurrences.genus_name,taxon,reg,,
136,Artiodactyla,Bovidae,Bovidae,Neotragocerus,Neotragocerus lindgreni,ruminantia,,
127,Artiodactyla,Bovidae,Bovinae,Bison,Bison alaskensis,ruminantia,,
143,Artiodactyla,Bovidae,Caprini,Sinocapra,Sinocapra willdownsi,ruminantia,,
145,Artiodactyla,Camelidae,Camelidae,Aepycamelus,Aepycamelus alexandrae,ruminantia,,
146,Artiodactyla,Camelidae,Camelidae,Aepycamelus,Aepycamelus bradyi,ruminantia,,
147,Artiodactyla,Camelidae,Camelidae,Aepycamelus,Aepycamelus giraffinus,ruminantia,,
148,Artiodactyla,Camelidae,Camelidae,Aepycamelus,Aepycamelus major,ruminantia,,
149,Artiodactyla,Camelidae,Camelidae,Aepycamelus,Aepycamelus procerus,ruminantia,,
150,Artiodactyla,Camelidae,Camelidae,Aepycamelus,Aepycamelus robustus,ruminantia,,
151,Artiodactyla,Camelidae,Camelidae,Aepycamelus,Aepycamelus stocki,ruminantia,,
152,Artiodactyla,Camelidae,Camelidae,Aguascalientia,Aguascalientia wilsoni,ruminantia,,
153,Artiodactyla,Camelidae,Camelidae,Alforjas,Alforjas taylori,ruminantia,,
154,Artiodactyla,Camelidae,Camelidae,Australocamelus,Australocamelus orarius,ruminantia,,
155,Artiodactyla,Camelidae,Camelidae,Blancocamelus,Blancocamelus meadei,ruminantia,,
157,Artiodactyla,Camelidae,Camelidae,Camelops,Camelops hesternus,ruminantia,,
158,Artiodactyla,Camelidae,Camelidae,Camelops,Camelops huerfanensis,ruminantia,,
160,Artiodactyla,Camelidae,Camelidae,Camelops,Camelops sulcatus,ruminantia,,
161,Artiodactyla,Camelidae,Camelidae,Camelops,Camelops traviswhitei,ruminantia,,
163,Artiodactyla,Camelidae,Camelidae,Cuyamacamelus,Cuyamacamelus jamesi,ruminantia,,
164,Artiodactyla,Camelidae,Camelidae,Floridatragulus,Floridatragulus dolichanthereus,ruminantia,,
165,Artiodactyla,Camelidae,Camelidae,Floridatragulus,Floridatragulus hesperus,ruminantia,,
166,Artiodactyla,Camelidae,Camelidae,Floridatragulus,Floridatragulus nanus,ruminantia,,
167,Artiodactyla,Camelidae,Camelidae,Floridatragulus,Floridatragulus texanus,ruminantia,,
169,Artiodactyla,Camelidae,Camelidae,Gigantocamelus,Gigantocamelus spatulus,ruminantia,,
174,Artiodactyla,Camelidae,Camelidae,Hesperocamelus,Hesperocamelus stylodon,ruminantia,,
175,Artiodactyla,Camelidae,Camelidae,Megacamelus,Megacamelus merriami,ruminantia,,
176,Artiodactyla,Camelidae,Camelidae,Megatylopus,Megatylopus cochrani,ruminantia,,
177,Artiodactyla,Camelidae,Camelidae,Megatylopus,Megatylopus gigas,ruminantia,,
178,Artiodactyla,Camelidae,Camelidae,Megatylopus,Megatylopus matthewi,ruminantia,,
179,Artiodactyla,Camelidae,Camelidae,Megatylopus,Megatylopus primaevus,ruminantia,,
180,Artiodactyla,Camelidae,Camelidae,Michenia,Michenia agatensis,ruminantia,,
181,Artiodactyla,Camelidae,Camelidae,Michenia,Michenia exilis,ruminantia,,
182,Artiodactyla,Camelidae,Camelidae,Michenia,Michenia yavapaiensis,ruminantia,,
