,LIDNUM,NAME,LOC_SYNONYMS,COUNTRY,STATE,COUNTY,BFA_MAX,BFA_MIN,MAX_AGE,MIN_AGE,CHRON,
10171,10428,Central Great Plains CP103II,CP103II,United States of America,NE,,arikareean-3,arikareean-3,22.2,19.09,Ar3,
10173,10429,Central Great Plains CP104A,CP104A,United States of America,NE,Sioux,arikareean-4,arikareean-4,19.09,18.5,Ar4,
10203,10430,Central Great Plains CP104B,CP104B,United States of America,NE,Box Butte: Sioux,arikareean-4,arikareean-4,19.09,18.5,Ar4,
10240,10431,Central Great Plains CP104C,CP104C,United States of America,NE,,hemingfordian-1,hemingfordian-1,18.5,17.34,He1,
10247,10432,Central Great Plains CP104D,CP104D,United States of America,NE,,hemingfordian-2,barstovian-1,17.34,14.78,He2-Ba1,
10248,10433,Central Great Plains CP105,CP105,United States of America,NE,,hemingfordian-1,hemingfordian-1,18.5,17.34,He1,
10329,10434,Central Great Plains CP106,CP106,United States of America,NE,,hemingfordian-1,hemingfordian-1,18.5,17.34,He1,
10352,10435,Central Great Plains CP106II,CP106II,United States of America,NE,,hemingfordian-2,hemingfordian-2,17.34,15.97,?He2,
10353,10436,Central Great Plains CP107,CP107,United States of America,NE,,hemingfordian-2,hemingfordian-2,17.34,15.97,He2,
10387,10437,Central Great Plains CP108A,CP108A,United States of America,NE,,hemingfordian-2,hemingfordian-2,17.34,15.97,He2,
10417,10438,Central Great Plains CP108B,CP108B,United States of America,NE,,hemingfordian-2,hemingfordian-2,17.34,15.97,He2,
10467,10439,Central Great Plains CP109A,CP109A,United States of America,NE,,hemingfordian-2,hemingfordian-2,17.34,15.97,He2,
10483,10440,Central Great Plains CP109B,CP109B,United States of America,NE,,barstovian-2,barstovian-2,14.78,12.57,Ba2,
10486,10150,Central Great Plains CP10II,CP10II,United States of America,UT,,blancan-early,blancan-early,4.91,2.63,E Bl,
10487,10441,Central Great Plains CP110,CP110,United States of America,NE,Sioux,barstovian-1,barstovian-1,15.97,14.78,Ba1,
10563,10442,Central Great Plains CP111,CP111,United States of America,NE,,barstovian-1,barstovian-1,15.97,14.78,Ba1,
10593,10443,Central Great Plains CP112,CP112,United States of America,NE,,barstovian-1,barstovian-1,15.97,14.78,Ba1,
10595,10444,Central Great Plains CP112II,CP112II,United States of America,NE,,barstovian-2,barstovian-2,14.78,12.57,Ba2,
10596,10445,Central Great Plains CP113A,CP113A,United States of America,NE,Webster/Franklin,barstovian-2,barstovian-2,14.78,12.57,Ba2,
10601,10446,Central Great Plains CP113A0,CP113A0,United States of America,NE,,barstovian-2,barstovian-2,14.78,12.57,Ba2,
10604,10447,Central Great Plains CP113A1,CP113A1,United States of America,NE,,clarendonian-1,clarendonian-1,12.57,12.11,Cl1,
10605,10448,Central Great Plains CP113A2,CP113A2,United States of America,NE,,clarendonian-2,clarendonian-2,12.11,10.09,Cl2,
