specimen,family,name,species,gender,p2.1,p2.2,p2.3,p3.1,p3.2,p3.3,p4.1,p4.2,p4.3,m1.1,m1.2,m1.3,m2.1,m2.2,m2.3,m3.1,m3.2,m3.3
FMNH 134540,Bovidae,Capra sibirica,Capra sibirica,Male,5.896,5.629,5.336,6.854,6.656,6.656,6.427,6.92,6.744,7.838,7.218,8.363,10.01,10.001,9.973,10.057,9.712,10.277
FMNH 27109,Bovidae,Capra walie,Capra walie,Unknown,5.351,5.228,5.47,6.754,7.14,7.14,7.267,7.529,7.257,9.138,8.869,8.975,9.039,8.933,9.133,8.713,9.158,8.931
FMNH 1278,Cervidae,Capreolus capreolus pygargus,Capreolus capreolus,Male,4.936,5.012,4.966,7.182,7.001,7.246,7.809,8.034,7.943,8.69,8.992,8.864,9.878,9.973,9.731,9.285,9.179,8.834
FMNH 25648,Cervidae,Capreolus capreolus pygargus,Capreolus capreolus,male,4.679,4.911,4.824,6.893,6.923,6.744,8.738,8.738,8.432,8.9,9.045,9.287,8.913,9.201,9.198,8.555,8.431,8.274
FMNH 25651,Cervidae,Capreolus capreolus pygargus,Capreolus capreolus,Female,5.252,5.399,5.492,6.882,6.862,6.8,8.109,7.965,8.107,9.537,10.025,9.791,9.833,9.353,9.784,9.67,9.674,9.724
FMNH 34287,Bovidae,Cephalophus callipygus,Cephalophus callipygus,Male,4.081,4.046,3.932,4.653,4.457,4.401,5.498,5.106,5.349,5.876,6.361,5.925,7.226,6.991,7.115,6.343,6.836,6.543
FMNH 27547,Bovidae,Cephalophus leucogaster,Cephalophus leucogaster,Male,1.961,1.785,1.891,1.961,1.874,1.92,2.498,2.769,2.764,3.957,3.527,3.957,4.09,4.186,4.226,3.512,3.351,3.477
FMNH 34291,Bovidae,Cephalophus leucogaster,Cephalophus leucogaster,Female,3.841,4.151,4.169,5.001,5.113,4.832,3.958,3.855,3.964,5.938,6.293,6.099,6.925,6.973,6.922,6.7,6.899,6.948
FMNH 26916,Bovidae,Cephalophus natalensis robertsi,Cephalophus natalensis,Male ,3.507,3.931,3.731,4.366,4.356,4.338,4.466,4.997,4.751,5.049,5.209,5.179,6.095,5.7,6.137,5.445,5.565,5.679
FMNH 54451,Bovidae,Philantomba maxwellii liberiensis,Philantomba maxwelli,Male,2.641,2.574,2.246,3.549,3.549,3.549,4.005,4.197,3.944,4.971,4.814,4.9,5.497,5.341,5.614,5.312,5.224,5.497
FMNH 34295,Bovidae,Cephalophus silvicultor silvicultor,Cephalophus silvicultor,Male,3.224,2.341,3.088,4.278,4.761,4.669,4.874,4.714,4.855,5.278,5.501,5.311,6.7,6.743,6.597,6.612,6.5,6.421
FMNH 29519,Bovidae,Connochaetes taurinus albojubatus,Connochaetes taurinus,Male,,,,11.204,11.212,11.072,11.941,11.793,11.532,13.951,13.81,13.845,12.565,12.468,12.408,12.434,12.171,12.327
FMNH 127910,Bovidae,Connochaetes taurinus mearnsi,Connochaetes taurinus,Male,,,,9.431,9.221,9.483,12.922,13.125,13.372,11.877,11.744,11.683,12.206,12.581,12.804,14.352,14.372,14.391
FMNH 34559,Bovidae,Connochaetes taurinus taurinus,Connochaetes taurinus,Male,,,,8.309,8.769,8.523,11.333,11.848,11.606,11.14,11.165,11.348,12.636,12.95,12.648,12.489,12.47,12.436
FMNH 34567,Bovidae,Damaliscus dorcas phillipsi,Damaliscus pygargus,Male,2.838,2.651,2.838,4.882,5.584,5.325,6.974,6.758,6.974,7.904,8.91,8.14,9.299,9.135,9.302,8.347,7.696,8.239
FMNH 29530,Bovidae,Damaliscus lunatus jimela,Damaliscus lunatus,Male,,,,5.9,5.67,6.126,8.625,8.852,8.861,9.597,9.781,9.547,10.725,10.782,10.636,10.334,10.017,10.411
FMNH 34522,Bovidae,Damaliscus lunatus jimela,Damaliscus lunatus,Male,5.119,5.33,5.581,7.184,6.952,7.416,8.575,8.346,8.111,9.968,10.902,10.431,9.976,9.281,9.086,8.687,8.575,8.915
FMNH 34525,Bovidae,Damaliscus lunatus lunatus,Damaliscus lunatus,Male,,,,6.318,6.151,6.363,7.313,7.313,7.31,8.38,9.174,8.952,9.758,9.539,9.39,8.501,8.958,8.817
FMNH 42214,Bovidae,Ourebia ourebi Epomophorus gambianus gambianus,Ourebia ourebi,Male,2.797,2.673,2.797,4.071,3.823,3.942,4.458,4.705,4.323,5.342,5.342,5.596,5.849,6.104,5.601,5.982,5.982,5.822
FMNH 77734,Bovidae,Gazella arabica bilkis,Gazella bilkis ,Female,3.248,3.407,3.378,4.405,4.507,4.24,5.302,5.433,5.433,6.034,6.296,6.296,7.953,7.902,7.496,7.426,7.136,7.136
FMNH 101169,Bovidae,Gazella dorcas dorcas,Gazella dorcas,Male,2.285,2.483,2.533,3.097,2.968,3.226,4.256,3.999,4.248,5.853,5.853,5.953,5.668,5.668,5.423,5.709,5.655,5.714
FMNH 100715,Bovidae,Gazella dorcas littoralis,Gazella dorcas,Female,3.363,3.087,3.218,4.433,4.29,4.292,4.022,4.158,4.227,5.658,5.158,5.601,5.39,5.577,5.688,5.39,5.504,5.671
FMNH 1527,Bovidae,Gazella dorcas pelzelni,Gazella dorcas,Male,2.489,2.489,2.375,3.844,3.647,3.932,4.544,4.425,4.655,5.654,6,6.265,5.96,6.09,6.004,6.911,7.107,6.935
FMNH 77736,Bovidae,Gazella gazella cora,Gazella gazella,Male,3.411,3.318,3.506,4.774,4.636,4.916,5.869,5.865,8.727,6.305,6.468,6.256,6.708,7.196,7.259,6.597,6.426,6.717
FMNH 105051,Bovidae,Gazella leptoceros leptoceros,Gazella leptoceros,Male,3.744,3.512,3.871,4.356,4.365,4.35,4.734,4.748,4.611,6.607,7.048,6.898,7.781,7.806,7.605,7.485,7.104,7.326
FMNH 98746,Bovidae,Gazella rufifrons laevipes,Eudorcas rufifrons,Female,3.223,3.273,3.335,4.575,4.727,4.403,5.353,5.092,5.097,6.769,6.4,6.49,6.869,6.869,6.838,6.156,6.191,6.255
FMNH 26689,Bovidae,Gazella s. hillierana,Nanger soemmerringii,Male,3.459,3.334,3.381,4.309,3.921,4.182,4.691,4.689,4.562,7.069,7.016,6.97,7.039,6.984,7.134,6.615,6.494,6.496
