species,specimen_name,Specimen no.,Formation,Locality,Side,Image No.,FO,LO,Repeat,# of meas.,P2_L,P2_W,P3_L,P3_W,P4_L,P4_W,M1_L,M1_W,M2_L,M2_W,M3_L,M3_W,p2_l,p2_w,p3_l,p3_w,p4_l,p4_w,m1_l,m1_w,m2_l,m2_w,m3_l,m3_w,upP,upM,loP,loM,Notes,Notes,Notes
Heteromeryx dispar,Heteromeryx dispar,PM 36692,Chadron,"Indian Creek, SD",right side,DSC_2927,38.5,36.4,3,7,,,,,,,,,,,,,,,,,,,10.334,6.937,12.163,8.89,16.119,8.976,,,,37.448,,,
Mesohippus sp.,Mesohippus sp.,UM 303,,"Pennington Co., SD",right side,DSC_2930,,,1,14,9.998,10.667,10.613,13.28,11.149,14.366,11.542,14.29,11.325,15.333,9.418,14.687,,,,,,,,,,,,,31.306,32.615,,,Sheep Mountain,,
Mesohippus sp.,Mesohippus sp.,UM 303,,"Pennington Co., SD",right side,DSC_2930,,,2,14,10.085,10.931,11.073,13.497,11.638,14.212,11.923,14.233,11.192,15.224,9.681,14.584,,,,,,,,,,,,,31.687,32.546,,,Sheep Mountain,,
Mesohippus sp.,Mesohippus sp.,UM 303,,"Pennington Co., SD",right side,DSC_2930,,,3,14,10.437,11.06,10.842,13.587,11.807,14.465,12.002,14.216,12.157,15.186,9.653,14.389,,,,,,,,,,,,,31.267,32.522,,,Sheep Mountain,,
Mesohippus sp.,Mesohippus sp.,UM 303,,"Pennington Co., SD",left side,DSC_2930,,,1,14,9.971,11.576,10.801,13.22,11.466,14.084,11.648,14.187,11.07,14.661,11.076,14.43,,,,,,,,,,,,,32.081,33.744,,,Sheep Mountain,,
Mesohippus sp.,Mesohippus sp.,UM 303,,"Pennington Co., SD",left side,DSC_2930,,,2,14,9.958,11.517,10.379,13.055,11.17,14.041,11.398,14.085,10.657,14.938,11.047,14.583,,,,,,,,,,,,,31.939,33.864,,,Sheep Mountain,,
Mesohippus sp.,Mesohippus sp.,UM 303,,"Pennington Co., SD",left side,DSC_2930,,,3,14,9.985,11.827,10.418,13.323,11.423,14.044,11.769,13.966,10.698,14.756,10.874,14.626,,,,,,,,,,,,,31.896,33.618,,,Sheep Mountain,,
Mesohippus bairdi,Mesohippus bairdi,PM 55668,Brule,"Shannon Co., SD",right side,DSC_2933,36.8,32.7,1,14,10.388,11.985,11.189,13.752,11.252,14.884,10.819,14.847,11.152,15.702,10.535,14.801,,,,,,,,,,,,,31.762,32.496,,,"Big Badlands National Park, Cottonwood Pass",,
Mesohippus bairdi,Mesohippus bairdi,PM 55668,Brule,"Shannon Co., SD",right side,DSC_2933,36.8,32.7,2,14,10.092,12.172,11.149,13.838,11.2,14.795,11.32,14.935,11.548,15.877,11.082,14.87,,,,,,,,,,,,,31.802,32.785,,,"Big Badlands National Park, Cottonwood Pass",,
Mesohippus bairdi,Mesohippus bairdi,PM 55668,Brule,"Shannon Co., SD",right side,DSC_2933,36.8,32.7,3,14,10.289,12.291,11.284,13.991,11.317,14.947,11.657,15.081,11.598,16.166,10.783,14.648,,,,,,,,,,,,,32.124,32.924,,,"Big Badlands National Park, Cottonwood Pass",,
Mesohippus bairdi,Mesohippus bairdi,PM 55668,Brule,"Shannon Co., SD",left side,DSC_2933,36.8,32.7,1,14,9.798,10.514,10.941,13.844,10.832,14.935,11.585,14.779,11.236,16.172,11.454,15.492,,,,,,,,,,,,,31.906,33.749,,,"Big Badlands National Park, Cottonwood Pass",,
Mesohippus bairdi,Mesohippus bairdi,PM 55668,Brule,"Shannon Co., SD",left side,DSC_2933,36.8,32.7,2,14,9.865,10.613,10.896,13.935,11.082,14.755,11.411,14.731,11.371,16.067,11.047,15.496,,,,,,,,,,,,,31.758,33.421,,,"Big Badlands National Park, Cottonwood Pass",,
Mesohippus bairdi,Mesohippus bairdi,PM 55668,Brule,"Shannon Co., SD",left side,DSC_2933,36.8,32.7,3,14,9.828,10.427,10.976,13.686,10.932,14.707,11.562,14.593,11.32,15.955,10.886,15.36,,,,,,,,,,,,,31.81,33.415,,,"Big Badlands National Park, Cottonwood Pass",,
Mesohippus bairdi,Mesohippus bairdi,PM 55668,Brule,"Shannon Co., SD",,DSC_2936,36.8,32.7,1,14,,,,,,,,,,,,,10.314,6.635,11.106,8.051,11.086,8.569,10.75,7.797,10.67,7.781,14.792,7.43,,,32.839,36.181,"Big Badlands National Park, Cottonwood Pass",,
Mesohippus bairdi,Mesohippus bairdi,PM 55668,Brule,"Shannon Co., SD",,DSC_2936,36.8,32.7,2,14,,,,,,,,,,,,,10.429,6.74,11.476,8.116,11.141,8.35,10.809,7.618,11.075,7.933,14.914,7.528,,,32.847,36.224,"Big Badlands National Park, Cottonwood Pass",,
Mesohippus bairdi,Mesohippus bairdi,PM 55668,Brule,"Shannon Co., SD",,DSC_2936,36.8,32.7,3,14,,,,,,,,,,,,,10.647,6.97,11.011,8.308,11.141,8.639,10.705,7.752,11.07,7.889,14.844,7.683,,,32.866,36.308,"Big Badlands National Park, Cottonwood Pass",,
Mesohippus bairdi,Mesohippus bairdi,PM 25048,,,,DSC_2939,36.8,32.7,1,14,9.647,11.761,10.557,13.127,11.253,14.283,9.75,14.112,9.859,14.194,9.703,13.133,,,,,,,,,,,,,31.522,29.624,,,"Oligocene, collected by Marg. Elliot",,
Mesohippus bairdi,Mesohippus bairdi,PM 25048,,,,DSC_2939,36.8,32.7,2,14,9.59,11.75,10.807,13.09,11.17,14.173,10.195,13.984,10.348,14.301,10.087,12.922,,,,,,,,,,,,,31.511,29.759,,,"Oligocene, collected by Marg. Elliot",,
Mesohippus bairdi,Mesohippus bairdi,PM 25048,,,,DSC_2939,36.8,32.7,3,14,9.486,12.026,10.679,13.257,11.132,14.297,10.402,14.191,10.231,14.054,10.146,13.229,,,,,,,,,,,,,31.209,29.736,,,"Oligocene, collected by Marg. Elliot",,
Mesohippus sp.,Mesohippus sp.,UM 792,,,left side,DSC_2942,,,1,14,11.116,12.687,12.302,13.946,12.228,15.334,11.18,13.948,12.57,15.272,10.695,14.211,,,,,,,,,,,,,34.16,33.984,,,Oligocene White River series,,
Mesohippus sp.,Mesohippus sp.,UM 792,,,left side,DSC_2942,,,2,14,10.603,12.589,11.92,14.154,12.219,15.193,11.269,14.154,12.347,15.095,11.092,14.121,,,,,,,,,,,,,34.433,33.708,,,Oligocene White River series,,
Mesohippus sp.,Mesohippus sp.,UM 792,,,left side,DSC_2942,,,3,14,10.448,13.048,12.2,14.364,11.968,15.351,11.258,14.179,12.33,15.289,11.172,14.129,,,,,,,,,,,,,34.327,33.79,,,Oligocene White River series,,
Mesohippus sp.,Mesohippus sp.,UM 792,,,right side,DSC_2942,,,1,14,11.333,12.603,12.266,13.615,11.737,14.723,10.693,13.896,11.036,15.237,10.215,14.67,,,,,,,,,,,,,34.899,32.292,,,Oligocene White River series,,
Mesohippus sp.,Mesohippus sp.,UM 792,,,right side,DSC_2942,,,2,14,10.844,12.745,12.105,13.925,12.126,14.594,11.08,13.917,11.274,15.07,10.698,14.628,,,,,,,,,,,,,34.689,32.33,,,Oligocene White River series,,
Mesohippus sp.,Mesohippus sp.,UM 792,,,right side,DSC_2942,,,3,14,11.064,12.62,11.857,13.597,12.206,14.594,11.052,13.762,11.277,15.316,10.664,14.612,,,,,,,,,,,,,35.066,32.742,,,Oligocene White River series,,
Mesohippus sp.,Mesohippus sp.,PM 1715,,"Pennington Co., SD",,DSC_2945,,,1,11,,,10.819,12.908,10.94,15.057,11.441,14.533,10.952,14.434,10.52,13.205,,,,,,,,,,,,,,31.386,,,Interior; Oligocene White River Series,,
