Index,Continent,Species Distribution,Order,FAMILY,Genus,Species,synonyms,Common,LogMass (g),Combined.Mass (g),Mass Reference,Mass Status,Status ,IUCN Redlist status,Year Assessed,trophic,trophic ref,habitat mode,MOMv5 vs. MSW3,LAB.COMMENTS.2016,Taxonomy Ref,TO.DO,,,,,,,,,,,,,,,,,,,
1019,AF,,Artiodactyla,Bovidae,Antidorcas,australis,,southern springobk,4.602,40000,2,valid,extinct,EX,,graze/browse,same as living congener,terr,,Taxonomy not changed,Faith 2014,,,,,,,,,,,,,,,,,,,,
1020,AF,,Artiodactyla,Bovidae,Antidorcas,bondi,,Bond's springbok,4.531,34000,1,valid,extinct,EX,,graze/browse,same as living congener,terr,,Good taxonomy,Faith 2014,,,,,,,,,,,,,,,,,,,,
47,AF,,Artiodactyla,Bovidae,Antidorcas,marsupialis,,Springbok,4.498,31500,236,valid,extant,LC,2008,graze/browse,t1,terr,Unchanged taxonomy.,,,,,,,,,,,,,,,,,,,,,,
295,AF,,Artiodactyla,Bovidae,Beatragus,hunteri,Damaliscus hunteri  ,"Hirola, Hunter's Antelope, Herola, Hunter's Hartebeest",4.903,80000.002,63_ 70,valid,extant,CR,2008,graze,t1,terr,Genus level change. ,synonym; Damaliscus is now Beatragus,IUCN redlist,,,,,,,,,,,,,,,,,,,,
74,AF,,Artiodactyla,Bovidae,Bos,taurus," Bos primigenius, Bos indicus",cattle,5.954,9.00E+05,-999,,extant,LC,not,Graze,same as congeners,terr,Unchanged taxonomy.,,,,,,,,,,,,,,,,,,,,,,
81,AF,,Artiodactyla,Bovidae,Capra,ibex,,"Alpine Ibex, Ibex",5.004,100999.681,65,valid,extant,LC,2008,browse/graze,t1,terr,Unchanged taxonomy.,,,,,,,,,,,,,,,,,,,,,,
82,AF,,Artiodactyla,Bovidae,Capra,nubiana,,Nubian Ibex,4.898,78999.681,70,valid,extant,VU,2008,browse/graze,t1,terr,Unchanged taxonomy.,,,,,,,,,,,,,,,,,,,,,,
83,AF,,Artiodactyla,Bovidae,Capra,walie,,"Walia Ibex, Walia",5,1.00E+05,-999,valid,extant,EN,2008,browse/graze,t1,terr,Unchanged taxonomy.,,,,,,,,,,,,,,,,,,,,,,
99,AF,,Artiodactyla,Bovidae,Capricornis,rubidus,Capricornis sumatraensis subspecies rubidus,Red Serow,4.176,14999.957,60,valid,extant,NT,2008,Browse,t1,terr,Genus level change. ,genus merge; Cephalophus rubidus is now Capricornis rubidus,IUCN redlist,,,,,,,,,,,,,,,,,,,,
87,AF,,Artiodactyla,Bovidae,Cephalophus,adersi,,Aders' Duiker,3.966,9249.963,63_ 70,valid,extant,CR,2008,frug/browse,t1,terr,Unchanged taxonomy.,,,,,,,,,,,,,,,,,,,,,,
88,AF,,Artiodactyla,Bovidae,Cephalophus,callipygus,,Peters' Duiker,4.261,18249.879,63_ 70,valid,extant,LC,2016,frug/browse,t1,terr,Unchanged taxonomy.,,,,,,,,,,,,,,,,,,,,,,
89,AF,,Artiodactyla,Bovidae,Cephalophus,dorsalis,,Bay Duiker,4.301,20000,60,valid,extant,NT,2016,frug/browse,t1,terr,Unchanged taxonomy.,,,,,,,,,,,,,,,,,,,,,,
90,AF,,Artiodactyla,Bovidae,Cephalophus,harveyi,,"Harvey's Duiker, Harvey's Red Duiker, East African Red Duiker",4.161,14500.067,63_ 70,,extant,LC,2016,frug/browse,t1,terr,Species name change. ,Red Duiker made up of 2 subspecies including [Cephalophus natalensis harveyi] check mass,MSW3,DELETE; combine mass with Cephalophus natalensis,,,,,,,,,,,,,,,,,,,
91,AF,,Artiodactyla,Bovidae,Cephalophus,jentinki,,Jentink's Duiker,4.845,70000.316,65,valid,extant,EN,2016,frug/browse,t1,terr,Unchanged taxonomy.,,,,,,,,,,,,,,,,,,,,,,
92,AF,,Artiodactyla,Bovidae,Cephalophus,leucogaster,,White-bellied Duiker,4.104,12699.891,60,valid,extant,NT,2016,frug/browse,t1,terr,Unchanged taxonomy.,,,,,,,,,,,,,,,,,,,,,,
94,AF,,Artiodactyla,Bovidae,Cephalophus,monticola, Philantomba monticola, ,3.796,6250,60,,extant,LC,2016,frug/browse,t1,terr,"Genus level change. Taxonomy possibilities are: AFROSORICIDA Tenrecidae Microgale monticola, RODENTIA Geomyidae Thomomys monticola, SORICOMORPHA Soricidae Crocidura monticola, CHIROPTERA Emballonuridae Emballonura monticola, ARTIODACTYLA Bovidae Philantomba monticola",synonym; Philantomba is now Cephalophus,MSW3,,,,,,,,,,,,,,,,,,,,
95,AF,,Artiodactyla,Bovidae,Cephalophus,natalensis,,"Natal Red Duiker, Red Forest Duiker, Natal Duiker",4.079,11999.966,60,valid,extant,LC,2016,frug/browse,t1,terr,Unchanged taxonomy.,,,,,,,,,,,,,,,,,,,,,,
96,AF,,Artiodactyla,Bovidae,Cephalophus,niger,Antilope  pluto,Black Duiker,4.31,20399.992,60,valid,extant,LC,2016,frug/browse,t1,terr,Unchanged taxonomy.,,,,,,,,,,,,,,,,,,,,,,
97,AF,,Artiodactyla,Bovidae,Cephalophus,nigrifrons,,Black-fronted Duiker,4.143,13899.846,60,valid,extant,LC,2016,frug/browse,t1,terr,Unchanged taxonomy.,,,,,,,,,,,,,,,,,,,,,,
98,AF,,Artiodactyla,Bovidae,Cephalophus,ogilbyi,Antilope ogilbyi,Ogilby's Duiker,4.301,20000,63_ 70,valid,extant,LC,2016,frug/browse,t1,terr,Unchanged taxonomy.,,,,,,,,,,,,,,,,,,,,,,
100,AF,,Artiodactyla,Bovidae,Cephalophus,rufilatus,,Red-flanked Duiker,4.079,11999.966,63_ 70,valid,extant,LC,2016,frug/browse,t1,terr,Unchanged taxonomy.,,,,,,,,,,,,,,,,,,,,,,
101,AF,,Artiodactyla,Bovidae,Cephalophus,silvicultor,,Yellow-backed Duiker,4.86,72500.333,60,valid,extant,NT,2016,frug/browse,t1,terr,Unchanged taxonomy.,,,,,,,,,,,,,,,,,,,,,,
102,AF,,Artiodactyla,Bovidae,Cephalophus,spadix,,"Abbott's Duiker, Minde",4.748,56000.254,63_ 70,valid,extant,EN,2016,frug/browse,t1,terr,Unchanged taxonomy.,,,,,,,,,,,,,,,,,,,,,,
103,AF,Zaire,Artiodactyla,Bovidae,Cephalophus,weynsi,,Weyns's Duiker,4.23,17000,164,valid,extant,LC,2016,frug/browse,same as congeners,terr,Unchanged taxonomy.,,,,,,,,,,,,,,,,,,,,,,
104,AF,,Artiodactyla,Bovidae,Cephalophus,zebra,,"Zebra Duiker, Banded Duiker, Zebra Antelope",4.243,17500.079,65,valid,extant,VU,2016,frug/browse,t1,terr,Unchanged taxonomy.,,,,,,,,,,,,,,,,,,,,,,
169,AF,,Artiodactyla,Bovidae,Connochaetes,gnou,,"Black Wildebeest, White-tailed Gnu",5.255,179998.962,60,valid,extant,LC,2008,graze/browse,t1,terr,Unchanged taxonomy.,,,,,,,,,,,,,,,,,,,,,,
170,AF,,Artiodactyla,Bovidae,Connochaetes,taurinus,,"Common Wildebeest, White-bearded Wildebeest, Blue Wildebeest",5.255,179998.962,63_ 70,valid,extant,LC,2008,graze,t1,terr,Unchanged taxonomy.,,,,,,,,,,,,,,,,,,,,,,
296,AF,,Artiodactyla,Bovidae,Damaliscus,lunatus,,"Topi, Tsessebe, Tiang",5.134,136000.342,63_ 70,valid,extant,LC,2008,graze,t1,terr,Unchanged taxonomy.,,,,,,,,,,,,,,,,,,,,,,
297,AF,,Artiodactyla,Bovidae,Damaliscus,pygargus,Damaliscus dorcas subspecies dorcas,"Blesbok, Bontebok",5.009,102000,75,valid,extant,LC,2008,Graze,same as congeners,terr,Unchanged taxonomy.,,,,,,,,,,,,,,,,,,,,,,
327,AF,,Artiodactyla,Bovidae,Dorcatragus,megalotis,Oreotragus megalotis,"Beira, Beira Antelope",4.011,10249.909,65,valid,extant,VU,2016,Browse,t1,terr,Unchanged taxonomy.,,,,,,,,,,,,,,,,,,,,,,
403,AF,,Artiodactyla,Bovidae,Eudorcas,rufifrons,Gazella rufifrons  ,Red-fronted Gazelle,4.431,26999.766,60,valid,extant,VU,2008,graze/browse,t1,terr,Genus level change. ,genus split; Gazella rufifrons is now Eudorcas rufifrons,IUCN redlist,,,,,,,,,,,,,,,,,,,,
1033,AF,,Artiodactyla,Bovidae,Eudorcas,rufina,Gazella rufina  ,Red Gazelle,4.602,40000,3_ 4,valid,historical,DD,2008,NA,NA,NA,Unchanged taxonomy.,,,,,,,,,,,,,,,,,,,,,,
406,AF,,Artiodactyla,Bovidae,Eudorcas,thomsonii,Gazella thomsonii  ,Thomson's Gazelle,4.312,20499.818,63_ 70,valid,extant,NT,2008,Browse,same as congeners,terr,Genus level change. ,genus split; Gazella thomsonii is now Eudorcas thomsonii,IUCN redlist,,,,,,,,,,,,,,,,,,,,
1024,AF,,Artiodactyla,Bovidae,Gazella,atlantica,,,4.648,44500,1_ 2,valid,extinct,EX,,Browse,same as congeners,terr,,Good taxonomy,Faith 2014,,,,,,,,,,,,,,,,,,,,
397,AF,,Artiodactyla,Bovidae,Gazella,cuvieri,,"Cuvier's Gazelle, Edmi",4.398,25000,-999,valid,extant,EN,2008,graze/browse,t1,terr,Unchanged taxonomy.,,,,,,,,,,,,,,,,,,,,,,
399,AF,,Artiodactyla,Bovidae,Gazella,dorcas,,Dorcas Gazelle,4.362,23000.115,65,valid,extant,VU,2008,Browse,t1,terr,Unchanged taxonomy.,,,,,,,,,,,,,,,,,,,,,,
400,AF,,Artiodactyla,Bovidae,Gazella,gazella,,"Mountain Gazelle, Idmi",4.352,22499.87,65,valid,extant,VU,2008,Browse,t1,terr,Unchanged taxonomy.,,,,,,,,,,,,,,,,,,,,,,
401,AF,,Artiodactyla,Bovidae,Gazella,granti, Nanger granti,Grant's gazelle,4.74,54999.659,63_ 70,,extant,LC,2016,browse/graze,t1,terr,"Genus level change. Taxonomy possibilities are: AFROSORICIDA Chrysochloridae Eremitalpa granti, PRIMATES Galagidae Galago granti, RODENTIA Muridae Batomys granti, RODENTIA Muridae Micaelamys granti, SORICOMORPHA Soricidae Sylvisorex granti, ARTIODACTYLA Bovidae  nger granti",synonym;  nger granti is now Gazella granti,IUCN redlist,,,,,,,,,,,,,,,,,,,,
402,AF,,Artiodactyla,Bovidae,Gazella,leptoceros,,Slender-horned Gazelle,4.346,22200,75,valid,extant,EN,2008,graze/browse,t1,terr,Unchanged taxonomy.,,,,,,,,,,,,,,,,,,,,,,
405,AF,,Artiodactyla,Bovidae,Gazella,spekei,,*Speke's Gazelle,4.301,20000,65,valid,extant,EN,2008,graze/browse,t1,terr,Unchanged taxonomy.,,,,,,,,,,,,,,,,,,,,,,
532,AF,,Artiodactyla,Bovidae,Hippotragus,equinus,,Roan Antelope,5.431,269997.66,63_ 70,valid,extant,LC,2008,graze,t1,terr,Unchanged taxonomy.,,,,,,,,,,,,,,,,,,,,,,
1034,AF,,Artiodactyla,Bovidae,Hippotragus,leucophaeus,,"Bluebuck, Blue Buck",5.176,150000,2_ 4,valid,historical,EX,2008,Graze,same as congeners,terr,Unchanged taxonomy.,EXTINCT PLEISTOCENE; Good taxonomy - Faith 2014; MIP verified taxonomy and added Holland citation,"Holland, W. 2015. ""Systematics of the Tribe Hippotragini (Cetartiodactyla: Bovidae)""",,,,,,,,,,,,,,,,,,,,
533,AF,,Artiodactyla,Bovidae,Hippotragus,niger,,"Sable Antelope, Giant Sable Antelope",5.357,227499.266,63_ 70,valid,extant,LC,2008,graze,t1,terr,Unchanged taxonomy.,,,,,,,,,,,,,,,,,,,,,,
566,AF,,Artiodactyla,Bovidae,Kobus,ellipsiprymnus,,Waterbuck,5.322,210000.341,63_ 70,valid,extant,LC,2008,graze,t1,terr,Unchanged taxonomy.,,,,,,,,,,,,,,,,,,,,,,
567,AF,,Artiodactyla,Bovidae,Kobus,kob,,Kob,4.895,78500.062,63_ 70,valid,extant,LC,2008,graze,t1,terr,Unchanged taxonomy.,,,,,,,,,,,,,,,,,,,,,,
568,AF,,Artiodactyla,Bovidae,Kobus,leche,,Southern Lechwe,5.044,110749.048,60,valid,extant,LC,2008,graze,t1,terr,Unchanged taxonomy.,,,,,,,,,,,,,,,,,,,,,,
569,AF,,Artiodactyla,Bovidae,Kobus,megaceros,,Nile Lechwe,4.942,87500.392,65,valid,extant,EN,2008,graze/browse,t1,terr,Unchanged taxonomy.,,,,,,,,,,,,,,,,,,,,,,
570,AF,,Artiodactyla,Bovidae,Kobus,vardonii,,Puku,4.854,71500.652,63_ 70,valid,extant,NT,2008,graze,t1,terr,Unchanged taxonomy.,,,,,,,,,,,,,,,,,,,,,,
594,AF,,Artiodactyla,Bovidae,Litocranius,walleri,,Gerenuk,4.58,37999.685,63_ 70,valid,extant,NT,2008,Browse,t1,terr,Unchanged taxonomy.,,,,,,,,,,,,,,,,,,,,,,
612,AF,,Artiodactyla,Bovidae,Madoqua,guentheri,,"Guenther's Dik-dik, GŸnther's Dik-dik",3.875,7499.978,63_ 70,valid,extant,LC,2016,Browse,t1,terr,Unchanged taxonomy.,,,,,,,,,,,,,,,,,,,,,,
613,AF,,Artiodactyla,Bovidae,Madoqua,kirkii,Madoqua damarensis  ,Kirk's Dik-dik,3.724,5300.05,63_ 70,valid,extant,LC,2016,Browse,t1,terr,Unchanged taxonomy.,,,,,,,,,,,,,,,,,,,,,,
614,AF,Somalia,Artiodactyla,Bovidae,Madoqua,piacentinii,,Silver Dik-dik,3.398,2500,70,valid,extant,DD,2016,Browse,t1,terr,Unchanged taxonomy.,,,,,,,,,,,,,,,,,,,,,,
615,AF,,Artiodactyla,Bovidae,Madoqua,saltiana,Antilope saltiana,Salt's Dik-dik,3.512,3249.975,65,valid,extant,LC,2016,Browse,t1,terr,Unchanged taxonomy.,,,,,,,,,,,,,,,,,,,,,,
1028,AF,,Artiodactyla,Bovidae,Megalotragus,priscus,,,5.301,2.00E+05,2,valid,extinct,EX,,Graze,diet_af_bovids.pdf,terr,,Good taxonomy,Brink et al. 1995; Faith 2014,,,,,,,,,,,,,,,,,,,,
398,AF,,Artiodactyla,Bovidae,Nanger,dama,Gazella dama  ,"Dama Gazelle, Mhorr Gazelle, Addra Gazelle",4.863,72999.519,60,valid,extant,CR,2008,Browse,t1,terr,Genus level change. ,synonym; Gazella dama is now Nanger dama,IUCN redlist,,,,,,,,,,,,,,,,,,,,
404,AF,,Artiodactyla,Bovidae,Nanger,soemmerringii,Gazella soemmerringii  ,"Gazelle de Soemmerring, *Soemmerring's Gazelle",4.602,40000.001,63_ 70,valid,extant,VU,2008,browse/graze,t1,terr,Genus level change. ,genus split; Gazella soemmerring is now Nanger soemmerring,IUCN redlist,,,,,,,,,,,,,,,,,,,,
732,AF,,Artiodactyla,Bovidae,Neotragus,batesi,,"Bates' Pygmy Antelope, Dwarf Antelope",3.477,2999.991,60,valid,extant,LC,2016,Browse,t1,terr,Unchanged taxonomy.,,,,,,,,,,,,,,,,,,,,,,
733,AF,,Artiodactyla,Bovidae,Neotragus,moschatus, ,suni,3.813,6499.95,63_ 70,,extant,LC,2008,Browse,t1,terr,Unchanged taxonomy.,,,,,,,,,,,,,,,,,,,,,,
734,AF,,Artiodactyla,Bovidae,Neotragus,pygmaeus,,Royal Antelope,3.602,4000,60,valid,extant,LC,2016,browse/frug,t1,terr,Unchanged taxonomy.,,,,,,,,,,,,,,,,,,,,,,
752,AF,,Artiodactyla,Bovidae,Oreotragus,oreotragus,Antilope oreotragus,Klipspringer,4.114,12999.9,63_ 70,valid,extant,LC,2016,browse/graze,t1,terr,Unchanged taxonomy.,,,,,,,,,,,,,,,,,,,,,,
755,AF,,Artiodactyla,Bovidae,Oryx,dammah,,Scimitar-horned Oryx,5.301,200000.002,60,valid,extant,EW,2008,graze/browse,t1,terr,Unchanged taxonomy.,,,,,,,,,,,,,,,,,,,,,,
756,AF,,Artiodactyla,Bovidae,Oryx,gazella,Oryx gazella subspecies gazella,Gemsbok,5.228,169001.282,63_ 70,valid,extant,LC,2008,graze/browse,t1,terr,Unchanged taxonomy.,,,,,,,,,,,,,,,,,,,,,,
775,AF,,Artiodactyla,Bovidae,Ourebia,ourebi,Antilope ourebi,Oribi,4.237,17250.036,63_ 70,valid,extant,LC,2016,graze,t1,terr,Unchanged taxonomy.,,,,,,,,,,,,,,,,,,,,,,
